city,lon,lat
Pasadena,-95.2091,29.69106
Quito,-78.467834,-0.180653
Barselona,2.15899,41.38879
Ankara,32.859741,39.933365
Lviv,24.029716,49.839684
Tokio,-104.997437,39.758602
Krakow,19.936856,50.061947
Paris,2.352222,48.856613
Sheffield,-1.470085,53.38113
Quebec,-71.262925,46.777023
Chicago,-87.629799,41.878113
Miami,-80.191788,25.761681
Mehico,-99.134209,19.43268
Bogota,-74.07209,4.710989
Brasilia,-47.921822,-15.826691
Amsterdam,4.895168,52.370216
Kyiv,30.542721,50.447731
Ternopil,25.594767,49.553516
Zhydachiv,24.15164,49.381364
Zaporizhia,35.139568,47.838799